Requested Write,Additional Write
0,0
10000,0
20000,0
30000,0
40000,0
50000,0
60000,0
70000,0
80000,0
90000,0
100000,0
110000,0
120000,0
130000,0
140000,0
150000,0
160000,0
170000,0
180000,326
190000,4472
200000,7161
210000,9363
220000,11346
230000,13299
240000,15240
250000,16960
260000,18436
270000,19849
280000,21371
290000,22902
300000,24472
310000,26138
320000,27842
330000,29824
340000,32005
350000,34662
360000,37707
370000,41136
380000,44381
390000,48323
400000,51928
410000,55331
420000,58892
430000,62517
440000,66385
450000,70227
460000,74368
470000,78394
480000,82488
490000,87002
500000,91145
510000,95500
520000,99987
530000,104389
540000,109238
550000,113494
560000,117890
570000,122089
580000,126353
590000,131262
600000,135890
610000,140464
620000,144966
630000,149269
640000,153603
650000,158684
660000,163368
670000,168428
680000,173944
690000,179097
700000,184871
710000,190565
720000,195812
730000,201543
740000,207426
750000,212962
760000,218353
770000,223984
780000,229624
790000,235513
800000,240922
810000,246635
820000,252711
830000,259231
840000,265497
850000,271439
860000,277463
870000,283149
880000,288147
890000,294009
900000,299121
910000,305440
920000,311249
930000,317057
940000,323730
950000,330076
960000,336548
970000,343094
980000,349503
990000,356864
1000000,363055
1010000,369555
1020000,376517
1030000,383074
1040000,389829
1050000,396693
1060000,403476
1070000,409979
1080000,416290
1090000,422802
1100000,429084
1110000,435911
1120000,442722
1130000,449674
1140000,456887
1150000,464360
1160000,471305
1170000,478797
1180000,486644
1190000,494406
1200000,502508
1210000,510463
1220000,517819
1230000,525436
1240000,532460
1250000,540298
1260000,547840
1270000,555126
1280000,562155
1290000,570366
1300000,577717
1310000,585577
1320000,593765
1330000,601271
1340000,609128
1350000,617956
1360000,626329
1370000,634290
1380000,642968
1390000,651610
1400000,660065
1410000,668534
1420000,677373
1430000,685844
1440000,694168
1450000,703040
1460000,711599
1470000,720010
1480000,729244
1490000,738376
1500000,747452
1510000,756324
1520000,765813
1530000,775146
1540000,784573
1550000,793567
1560000,802838
1570000,812778
1580000,822705
1590000,832471
1600000,841795
1610000,851230
1620000,860890
1630000,870362
1640000,880132
1650000,890095
1660000,897681
1670000,905936
1680000,915817
1690000,925987
1700000,936087
1710000,945266
1720000,954086
1730000,964208
1740000,973884
1750000,983356
1760000,993322
1770000,1003148
1780000,1013022
1790000,1022891
1800000,1032853
1810000,1043290
1820000,1052404
1830000,1062568
1840000,1073003
1850000,1082381
1860000,1092538
1870000,1102847
1880000,1113532
1890000,1124213
1900000,1135171
1910000,1145704
1920000,1156751
1930000,1167584
1940000,1178410
1950000,1189675
1960000,1200757
1970000,1211690
1980000,1222233
1990000,1233126
2000000,1244022
2010000,1255579
2020000,1266951
2030000,1278868
2040000,1290300
2050000,1302505
2060000,1313273
2070000,1324823
2080000,1335748
2090000,1347304
2100000,1358896
2110000,1370186
2120000,1381772
2130000,1393737
2140000,1405944
2150000,1418001
2160000,1430149
2170000,1440853
2180000,1451013
2190000,1463892
2200000,1475738
2210000,1487894
2220000,1499989
2230000,1513609
2240000,1526409
2250000,1539055
2260000,1551145
2270000,1562951
2280000,1575019
2290000,1587763
2300000,1600778
2310000,1614751
2320000,1627898
2330000,1641202
2340000,1654165
2350000,1667068
2360000,1679997
2370000,1692980
2380000,1705998
2390000,1719271
2400000,1732357
2410000,1745245
2420000,1758140
2430000,1771284
2440000,1783816
2450000,1797131
2460000,1810688
2470000,1823791
2480000,1837123
2490000,1849983
2500000,1862833
2510000,1875647
2520000,1888830
2530000,1902027
2540000,1915564
2550000,1928758
2560000,1942231
2570000,1955569
2580000,1969377
2590000,1982848
2600000,1996225
2610000,2009779
2620000,2022850
2630000,2034528
2640000,2046275
2650000,2060612
2660000,2074545
2670000,2088368
2680000,2102587
2690000,2116770
2700000,2131047
2710000,2145286
2720000,2159411
2730000,2173534
2740000,2187685
2750000,2201590
2760000,2215566
2770000,2230757
2780000,2245713
2790000,2260269
2800000,2274602
2810000,2288913
2820000,2303166
2830000,2317384
2840000,2331902
2850000,2345954
2860000,2360244
2870000,2373838
2880000,2388008
2890000,2402561
2900000,2417424
2910000,2431811
2920000,2445917
2930000,2459619
2940000,2473853
2950000,2488104
2960000,2501626
2970000,2515905
2980000,2529834
2990000,2543795
3000000,2557229
3010000,2571957
3020000,2585592
3030000,2599399
3040000,2613471
3050000,2628254
3060000,2642994
3070000,2657129
3080000,2672034
3090000,2687753
3100000,2702883
3110000,2717484
3120000,2732851
3130000,2747582
3140000,2762305
3150000,2777074
3160000,2792046
3170000,2806912
3180000,2822022
3190000,2836514
3200000,2851443
3210000,2866729
3220000,2881883
3230000,2897331
3240000,2914364
3250000,2931074
3260000,2947502
3270000,2964163
3280000,2980751
3290000,2994955
3300000,3011299
3310000,3027575
3320000,3044010
3330000,3060622
3340000,3076382
3350000,3092594
3360000,3109073
3370000,3125496
3380000,3141979
3390000,3157753
3400000,3174446
3410000,3191217
3420000,3208001
3430000,3225314
3440000,3241809
3450000,3258623
3460000,3276167
3470000,3293777
3480000,3310754
3490000,3327608
3500000,3345078
3510000,3361789
3520000,3378186
3530000,3394843
3540000,3409878
3550000,3424735
3560000,3441243
3570000,3457503
3580000,3474300
3590000,3491980
3600000,3509338
3610000,3525715
3620000,3544158
3630000,3561553
3640000,3578973
3650000,3595787
3660000,3613367
3670000,3631211
3680000,3649400
3690000,3665887
3700000,3683864
3710000,3701753
3720000,3719593
3730000,3737312
3740000,3755174
3750000,3772628
3760000,3790888
3770000,3808982
3780000,3826236
3790000,3844069
3800000,3862054
3810000,3878946
3820000,3894362
3830000,3910257
3840000,3927188
3850000,3945066
3860000,3962970
3870000,3979896
3880000,3998035
3890000,4015475
3900000,4032538
3910000,4048711
3920000,4064997
3930000,4081547
