Requested Write,Additional Write
0,0
10000,0
20000,0
30000,0
40000,0
50000,0
60000,0
70000,0
80000,0
90000,0
100000,0
110000,0
120000,0
130000,0
140000,0
150000,0
160000,0
170000,0
180000,0
190000,0
200000,0
210000,0
220000,0
230000,0
240000,0
250000,0
260000,0
270000,191
280000,2303
290000,5034
300000,6787
310000,8190
320000,9702
330000,11173
340000,12705
350000,14197
360000,15655
370000,17110
380000,18527
390000,19968
400000,21388
410000,22761
420000,24019
430000,25275
440000,26535
450000,27718
460000,28866
470000,30082
480000,31326
490000,32703
500000,33931
510000,35484
520000,37633
530000,40266
540000,42768
550000,44835
560000,46815
570000,48402
580000,50413
590000,51675
600000,53413
610000,55258
620000,56931
630000,58501
640000,60120
650000,62092
660000,63905
670000,66134
680000,68218
690000,70448
700000,72752
710000,74909
720000,77185
730000,80260
740000,83306
750000,85379
760000,87448
770000,89640
780000,91781
790000,93824
800000,95978
810000,97969
820000,100811
830000,102823
840000,105110
850000,107316
860000,109589
870000,111719
880000,114096
890000,116513
900000,118637
910000,121126
920000,123629
930000,125864
940000,128300
950000,130868
960000,133300
970000,135854
980000,139042
990000,142602
1000000,145326
1010000,147785
1020000,150013
1030000,152289
1040000,154545
1050000,156908
1060000,158999
1070000,161637
1080000,164190
1090000,167258
1100000,169869
1110000,172474
1120000,174766
1130000,177562
1140000,180215
1150000,183387
1160000,186123
1170000,188984
1180000,192376
1190000,195619
1200000,198426
1210000,201236
1220000,204088
1230000,206875
1240000,209391
1250000,212799
1260000,215854
1270000,218526
1280000,221352
1290000,224632
1300000,227545
1310000,230294
1320000,233247
1330000,236292
1340000,239299
1350000,242440
1360000,245396
1370000,248321
1380000,251531
1390000,254413
1400000,257430
1410000,260274
1420000,263054
1430000,265735
1440000,268611
1450000,271480
1460000,274647
1470000,277939
1480000,280878
1490000,283916
1500000,287221
1510000,290513
1520000,293743
1530000,297286
1540000,300873
1550000,304790
1560000,308113
1570000,311296
1580000,315082
1590000,318340
1600000,321463
1610000,324810
1620000,328052
1630000,331497
1640000,334569
1650000,338172
1660000,341490
1670000,344852
1680000,348366
1690000,352032
1700000,355471
1710000,358147
1720000,361497
1730000,365126
1740000,368779
1750000,372562
1760000,376180
1770000,380141
1780000,383577
1790000,387329
1800000,390951
1810000,394179
1820000,397361
1830000,400980
1840000,404282
1850000,407752
1860000,411563
1870000,415669
1880000,419474
1890000,423350
1900000,426842
1910000,430616
1920000,434542
1930000,438312
1940000,442228
1950000,446180
1960000,450144
1970000,454283
1980000,458081
1990000,461428
2000000,465389
2010000,469727
2020000,473654
2030000,477750
2040000,481686
2050000,485868
2060000,489622
2070000,493915
2080000,497383
2090000,501482
2100000,505569
2110000,509556
2120000,513799
2130000,517593
2140000,521368
2150000,525356
2160000,529670
2170000,532784
2180000,536172
2190000,540206
2200000,544180
2210000,548497
2220000,552679
2230000,557262
2240000,561454
2250000,565882
2260000,570132
2270000,574481
2280000,579075
2290000,583972
2300000,588173
2310000,593116
2320000,597656
2330000,602161
2340000,606532
2350000,610969
2360000,615516
2370000,619910
2380000,624208
2390000,628784
2400000,632998
2410000,637423
2420000,641709
2430000,646238
2440000,650298
2450000,654359
2460000,658951
2470000,663375
2480000,667852
2490000,671802
2500000,675973
2510000,680481
2520000,685401
2530000,689667
2540000,694107
2550000,698750
2560000,703502
2570000,708253
2580000,712829
2590000,717293
2600000,721684
2610000,726057
2620000,730579
2630000,734286
2640000,737840
2650000,742455
2660000,747302
2670000,752006
2680000,756741
2690000,761547
2700000,766614
2710000,771343
2720000,776034
2730000,780808
2740000,785268
2750000,790036
2760000,795035
2770000,799764
2780000,804780
2790000,809534
2800000,814266
2810000,819185
2820000,823919
2830000,828714
2840000,833740
2850000,838797
2860000,843396
2870000,848107
2880000,852785
2890000,857505
2900000,862420
2910000,867177
2920000,871862
2930000,876596
2940000,881192
2950000,885906
2960000,890510
2970000,895022
2980000,899623
2990000,904034
3000000,908532
3010000,913343
3020000,917791
3030000,922425
3040000,927519
3050000,932287
3060000,936986
3070000,941841
3080000,946400
3090000,951303
3100000,956074
3110000,960654
3120000,965456
3130000,970014
3140000,974532
3150000,979132
3160000,983772
3170000,988680
3180000,993571
3190000,998387
3200000,1003141
3210000,1008069
3220000,1013296
3230000,1018119
3240000,1023220
3250000,1028221
3260000,1033168
3270000,1038489
3280000,1043720
3290000,1049161
3300000,1054266
3310000,1059558
3320000,1064755
3330000,1069837
3340000,1074402
3350000,1079631
3360000,1084861
3370000,1090382
3380000,1095413
3390000,1100189
3400000,1105322
3410000,1110907
3420000,1115934
3430000,1121227
3440000,1126411
3450000,1131559
3460000,1136805
3470000,1142034
3480000,1147480
3490000,1152667
3500000,1157943
3510000,1162780
3520000,1167628
3530000,1172382
3540000,1177251
3550000,1181248
3560000,1186408
3570000,1191470
3580000,1196684
3590000,1202103
3600000,1207600
3610000,1213068
3620000,1218812
3630000,1224154
3640000,1229660
3650000,1234694
3660000,1239639
3670000,1245162
3680000,1251070
3690000,1256459
3700000,1262424
3710000,1267814
3720000,1273472
3730000,1279014
3740000,1284365
3750000,1290078
3760000,1295739
3770000,1301205
3780000,1306423
3790000,1311649
3800000,1317277
3810000,1322583
3820000,1327583
3830000,1332542
3840000,1337869
3850000,1343581
3860000,1349125
3870000,1354298
3880000,1360303
3890000,1365841
3900000,1371246
3910000,1376573
3920000,1381931
3930000,1387136
