Requested Write,Additional Write
0,0
10000,0
20000,0
30000,0
40000,0
50000,0
60000,0
70000,0
80000,0
90000,0
100000,0
110000,0
120000,0
130000,0
140000,0
150000,0
160000,0
170000,0
180000,0
190000,0
200000,0
210000,0
220000,0
230000,0
240000,0
250000,0
260000,0
270000,125
280000,1459
290000,2928
300000,4441
310000,5916
320000,7468
330000,8984
340000,10526
350000,12021
360000,13497
370000,15039
380000,16577
390000,18074
400000,19603
410000,21082
420000,22467
430000,23890
440000,25340
450000,26535
460000,27913
470000,29304
480000,30586
490000,31868
500000,33242
510000,34743
520000,36521
530000,38105
540000,39776
550000,41800
560000,43596
570000,45730
580000,47927
590000,49908
600000,51945
610000,54222
620000,56376
630000,58302
640000,60297
650000,62453
660000,64767
670000,67080
680000,69268
690000,71612
700000,73996
710000,76355
720000,78649
730000,80931
740000,83197
750000,85257
760000,87385
770000,89639
780000,91762
790000,93730
800000,95964
810000,98171
820000,100372
830000,102535
840000,104948
850000,107118
860000,109214
870000,111248
880000,113460
890000,115818
900000,118147
910000,120770
920000,123452
930000,126003
940000,128650
950000,131425
960000,134355
970000,137348
980000,140393
990000,143199
1000000,145735
1010000,148507
1020000,150948
1030000,153496
1040000,155952
1050000,158534
1060000,160941
1070000,163350
1080000,166122
1090000,169002
1100000,171999
1110000,174714
1120000,177097
1130000,179872
1140000,182784
1150000,185914
1160000,188875
1170000,191723
1180000,194935
1190000,197976
1200000,200973
1210000,203980
1220000,207110
1230000,209936
1240000,212766
1250000,215610
1260000,218494
1270000,221484
1280000,224111
1290000,226941
1300000,229881
1310000,232833
1320000,235722
1330000,238720
1340000,241984
1350000,245443
1360000,248655
1370000,251707
1380000,255168
1390000,257961
1400000,261260
1410000,264319
1420000,267358
1430000,270280
1440000,273313
1450000,276608
1460000,279704
1470000,283271
1480000,286621
1490000,289675
1500000,292998
1510000,296327
1520000,299904
1530000,303471
1540000,306863
1550000,310325
1560000,313899
1570000,317347
1580000,320830
1590000,324297
1600000,327546
1610000,331000
1620000,334612
1630000,338295
1640000,341538
1650000,345076
1660000,348253
1670000,351386
1680000,354846
1690000,358487
1700000,362177
1710000,365355
1720000,369098
1730000,372686
1740000,376246
1750000,379920
1760000,383669
1770000,387193
1780000,390794
1790000,394230
1800000,397641
1810000,401314
1820000,404735
1830000,408675
1840000,412467
1850000,416299
1860000,419963
1870000,423573
1880000,427595
1890000,431267
1900000,435097
1910000,438807
1920000,442631
1930000,446492
1940000,450499
1950000,454708
1960000,458554
1970000,462572
1980000,466204
1990000,470078
2000000,474565
2010000,478935
2020000,483009
2030000,487289
2040000,491278
2050000,495379
2060000,499694
2070000,503814
2080000,507716
2090000,511811
2100000,515780
2110000,519769
2120000,523822
2130000,527855
2140000,531832
2150000,535837
2160000,539942
2170000,543283
2180000,546765
2190000,551192
2200000,555857
2210000,559906
2220000,564395
2230000,569265
2240000,573997
2250000,578154
2260000,582795
2270000,587513
2280000,592458
2290000,597224
2300000,602091
2310000,606932
2320000,611650
2330000,616448
2340000,620835
2350000,625495
2360000,629962
2370000,634536
2380000,639139
2390000,643860
2400000,648331
2410000,652546
2420000,657101
2430000,661665
2440000,666046
2450000,670232
2460000,675259
2470000,680103
2480000,684867
2490000,689310
2500000,694187
2510000,698511
2520000,703020
2530000,707804
2540000,712858
2550000,718023
2560000,722730
2570000,727416
2580000,732074
2590000,736488
2600000,741190
2610000,745717
2620000,750158
2630000,753716
2640000,757612
2650000,762507
2660000,767763
2670000,772995
2680000,778226
2690000,783269
2700000,788179
2710000,792873
2720000,797520
2730000,802835
2740000,808042
2750000,812943
2760000,817739
2770000,822416
2780000,827616
2790000,833143
2800000,838486
2810000,843654
2820000,848514
2830000,853491
2840000,858375
2850000,863350
2860000,868334
2870000,873348
2880000,878188
2890000,883201
2900000,888241
2910000,893393
2920000,898009
2930000,903446
2940000,908226
2950000,912649
2960000,917287
2970000,921941
2980000,926583
2990000,931020
3000000,935226
3010000,939784
3020000,944778
3030000,949595
3040000,954344
3050000,959111
3060000,963851
3070000,968601
3080000,973524
3090000,978628
3100000,983629
3110000,988740
3120000,993720
3130000,998810
3140000,1003820
3150000,1009014
3160000,1014100
3170000,1018946
3180000,1024042
3190000,1029072
3200000,1034116
3210000,1039101
3220000,1043956
3230000,1049191
3240000,1054808
3250000,1060443
3260000,1065071
3270000,1070837
3280000,1076515
3290000,1082214
3300000,1087679
3310000,1093149
3320000,1098663
3330000,1103842
3340000,1108864
3350000,1113863
3360000,1118413
3370000,1124039
3380000,1129502
3390000,1134491
3400000,1140243
3410000,1145611
3420000,1150869
3430000,1156709
3440000,1161719
3450000,1167005
3460000,1172718
3470000,1178211
3480000,1183670
3490000,1189059
3500000,1194273
3510000,1199169
3520000,1204267
3530000,1209358
3540000,1213160
3550000,1215840
3560000,1220608
3570000,1225968
3580000,1231497
3590000,1237069
3600000,1242584
3610000,1248141
3620000,1253815
3630000,1259123
3640000,1264117
3650000,1268861
3660000,1274512
3670000,1280205
3680000,1286019
3690000,1291465
3700000,1296830
3710000,1301829
3720000,1307132
3730000,1312875
3740000,1318654
3750000,1324484
3760000,1329975
3770000,1335512
3780000,1341142
3790000,1346818
3800000,1352373
3810000,1357837
3820000,1362590
3830000,1368075
3840000,1373115
3850000,1378658
3860000,1384858
3870000,1390261
3880000,1395627
3890000,1400734
3900000,1405615
3910000,1410922
3920000,1416335
3930000,1421649
